unique_key,lang,link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods_1,eng_Latn,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Synchronous_and_asynchronous_communication_methods,1,"Asynchronous communication encourages time for reflection and reaction to others. It allows students the ability to work at their own pace and control the pace of instructional information. In addition, there are fewer time restrictions with the possibility of flexible working hours. (Bremer, 1998) The use of the Internet and the World Wide Web allows learners to have access to information at all times. Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.",Which of the following is not a benefit of asynchronous communication for students? ,The use of internet as a resource,Face-to-face access to instructors at any time of day,Flexible working hours,Pace control,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Introduction_2,eng_Latn,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Introduction,2,"With the change from the quarter to the half mile run, speed becomes of much less importance and endurance becomes an absolute necessity. Of course a first-class half-miler, a man who can beat two minutes, must be possessed of a fair amount of speed, but endurance must be cultivated at all hazards. Some cross country running during the winter, combined with gymnasium work for the upper part of the body, is the best preparation for the running season.","According to the passage, which of the following is of utmost importance for a first-class half-mile runner?",Practicing cross country running during the winter months,Cultivating endurance over speed,Clocking in under two minutes,Cultivating speed over endurance,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Knowledge_Representation_and_Hemispheric_Specialisation_1,eng_Latn,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Knowledge_Representation_and_Hemispheric_Specialisation,1,"Although AI has a strong connotation of science fiction, AI forms a very important branch of computer science, dealing with behavior, learning and intelligent adaptation in a machine. Research in AI involves making machines to automate tasks that require intelligent behavior. Examples include control, planning and scheduling, the ability to answer customer diagnoses and questions, as well as handwriting recognition, voice and face. Such things have become separate disciplines, which focus on providing solutions to real life problems. The AI ​​system is now often used in the fields of economics, medicine, engineering and the military, as has been built in several home computer and video game software applications.","According to the passage, which of the following is an accurate summary of AI’s main purpose?",Planning,Voice recognition ,Scheduling,Task automation,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Communication_Theory/Nonverbal_Communication_2,eng_Latn,https://en.wikibooks.org/wiki/Communication_Theory/Nonverbal_Communication,2,"The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds. In particular, it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly. Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately. He even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.",Which of the following statements about micro-expression interpretation is not true?,Video recordings have led to significant advancements,Correct interpretation may detect lying,Speech as well as facial expressions are interpreted,It can help assess sincerity,3,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Can_Exercise_Really_Help_Multiple_Sclerosis%3F_1,eng_Latn,https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Can_Exercise_Really_Help_Multiple_Sclerosis%3F,1,"Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults. MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve. Research has found that females are two times more likely to have MS then males.","Based on the passage, for whom would a diagnosis of Multiple Sclerosis be most likely?",A 32 year old female,A 15 year old male,A 43 year old male,A 10 year old female,1,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/First_Aid/Poisoning_1,eng_Latn,https://en.wikibooks.org/wiki/First_Aid/Poisoning,1,"Internal poisoning may not be immediately apparent. Symptoms, such as vomiting are sufficiently general that an immediate diagnosis cannot be made. The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals. Check the label for specific first aid instructions for that specific poison.","According to the passage, which of the following would be the strongest indicator of internal poisoning?",Nausea and fever ,Vomiting and sweating,Severe cramping and stomach pain,A prescription pill bottle,4,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/French_Revolution/Effects_1,eng_Latn,https://en.wikibooks.org/wiki/French_Revolution/Effects,1,"There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.",Which of the changes prompted by The French Revolution had a significant impact on working class citizens?,Increased support for the nation,A shift of focus from class to competence,An adoption of Republican ideology,A new measuring system,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/French_Revolution/Effects_2,eng_Latn,https://en.wikibooks.org/wiki/French_Revolution/Effects,2,"There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler. Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed. Same goes for the military because instead of army rankings being based on class they were now based on cailaber. The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.","Following the French Revolution, success in the military and other occupations was less likely to be based on what?",Achievement,Class,Ambition,Caliber,2,eng_Latn,2023-05-03
https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Traffic_Flow_1,eng_Latn,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Traffic_Flow,1,"Traffic Flow is the study of the movement of individual drivers and vehicles between two points and the interactions they make with one another. Unfortunately, studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty. Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically. To better represent traffic flow, relationships have been established between the three main characteristics: (1) flow, (2) density, and (3) velocity. These relationships help in planning, design, and operations of roadway facilities.","According to the passage, which of the following can be difficult to gauge due to the unpredictability of drivers?",Traffic velocity,Roadway planning,Roadway operations,Traffic Flow,4,eng_Latn,2023-05-03
"https://en.wikibooks.org/wiki/General_Biology/Genetics/DNA,_The_Genetic_Material_1",eng_Latn,"https://en.wikibooks.org/wiki/General_Biology/Genetics/DNA,_The_Genetic_Material",1,"The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material. Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium. They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.",What did Hershey and Chase use to implant their DNA? ,Radioactive phosphorus,Genetic material,Radioactive sulfur ,Viruses ,4,eng_Latn,2023-05-03
